Ligand_SMILES,Target_UniProt,Target_Name,Species,Activity_nM
O=c1[nH]c(=O)n(C2O[C@H](CO)[C@@H](O)[C@@H]2O)cc1/C=C\Br,Q,Deoxynucleoside kinase,Drosophila melanogaster,31600.0
Cc1cn(C/C=C\COC(c2ccccc2)(c2ccccc2)c2ccccc2)c(=O)[nH]c1=O,Q,Deoxynucleoside kinase,Drosophila melanogaster,3300.0
CNC(=O)c1ccc(C(OC/C=C\Cn2cc(C)c(=O)[nH]c2=O)(c2ccccc2)c2ccccc2)cc1,Q,Deoxynucleoside kinase,Drosophila melanogaster,1600.0
CNC(=O)c1ccc(C(OCCCCCCn2cc(C)c(=O)[nH]c2=O)(c2ccccc2)c2ccccc2)cc1,Q,Deoxynucleoside kinase,Drosophila melanogaster,3500.0
Cc1cn(C/C=C\COC(c2ccccc2)(c2ccccc2)c2ccncc2)c(=O)[nH]c1=O,Q,Deoxynucleoside kinase,Drosophila melanogaster,3400.0
Cc1cn(C/C=C\COC(c2ccccc2)(c2ccccc2)c2ccc(Cl)cc2)c(=O)[nH]c1=O,Q,Deoxynucleoside kinase,Drosophila melanogaster,5700.0
Cc1cn(CCOCCOC(c2ccccc2)(c2ccccc2)c2ccncc2)c(=O)[nH]c1=O,Q,Deoxynucleoside kinase,Drosophila melanogaster,35000.0
Cc1cn(CCOCCOC(c2ccccc2)(c2ccccc2)c2ccc(Cl)cc2)c(=O)[nH]c1=O,Q,Deoxynucleoside kinase,Drosophila melanogaster,45000.0
Cc1cn(CCCCCCOC(c2ccccc2)(c2ccccc2)c2cc[n+](C)cc2)c(=O)[nH]c1=O.[I-],Q,Deoxynucleoside kinase,Drosophila melanogaster,29000.0
Cc1cn(CCCCCCOC(c2ccccc2)(c2ccccc2)c2ccncc2)c(=O)[nH]c1=O,Q,Deoxynucleoside kinase,Drosophila melanogaster,2700.0
Cc1cn(CCCCCCOC(c2ccccc2)(c2ccccc2)c2ccc(Cl)cc2)c(=O)[nH]c1=O,Q,Deoxynucleoside kinase,Drosophila melanogaster,47000.0
Cc1cn(CCCCCCCCOC(c2ccccc2)(c2ccccc2)c2ccccc2)c(=O)[nH]c1=O,Q,Deoxynucleoside kinase,Drosophila melanogaster,30000.0
Cc1cn(CCCCCCCOC(c2ccccc2)(c2ccccc2)c2ccccc2)c(=O)[nH]c1=O,Q,Deoxynucleoside kinase,Drosophila melanogaster,32000.0
Cc1cn(CCCCCCOC(c2ccccc2)(c2ccccc2)c2ccccc2)c(=O)[nH]c1=O,Q,Deoxynucleoside kinase,Drosophila melanogaster,17000.0
Cc1cn(CCCCCOC(c2ccccc2)(c2ccccc2)c2ccccc2)c(=O)[nH]c1=O,Q,Deoxynucleoside kinase,Drosophila melanogaster,15000.0
Cc1cn(CCCOC(c2ccccc2)(c2ccccc2)c2ccccc2)c(=O)[nH]c1=O,Q,Deoxynucleoside kinase,Drosophila melanogaster,21000.0
O=c1[nH]c(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)cc1/C=C/Br,Q,Deoxynucleoside kinase,Drosophila melanogaster,28000.0
Cc1cn([C@H]2C[C@H](n3ccnn3)[C@@H](CO)O2)c(=O)[nH]c1=O,Q,Deoxynucleoside kinase,Drosophila melanogaster,40000.0
CCCCc1cn([C@H]2C[C@H](n3cc(C)c(=O)[nH]c3=O)O[C@@H]2CO)nn1,Q,Deoxynucleoside kinase,Drosophila melanogaster,4100.0
Cc1cn([C@H]2C[C@H](n3cc(-c4ccccc4)nn3)[C@@H](CO)O2)c(=O)[nH]c1=O,Q,Deoxynucleoside kinase,Drosophila melanogaster,2200.0
Cc1cn([C@H]2C[C@H](n3cc(Cc4ccccc4)nn3)[C@@H](CO)O2)c(=O)[nH]c1=O,Q,Deoxynucleoside kinase,Drosophila melanogaster,3900.0
Cc1cn([C@H]2C[C@H](n3cc(CC4CCCC4)nn3)[C@@H](CO)O2)c(=O)[nH]c1=O,Q,Deoxynucleoside kinase,Drosophila melanogaster,3000.0
Cc1cn([C@H]2C[C@H](n3cc(-c4ccc(Cl)cc4)nn3)[C@@H](CO)O2)c(=O)[nH]c1=O,Q,Deoxynucleoside kinase,Drosophila melanogaster,1800.0
Cc1cn([C@H]2C[C@H](n3cc(-c4ccc(Cl)c(Cl)c4)nn3)[C@@H](CO)O2)c(=O)[nH]c1=O,Q,Deoxynucleoside kinase,Drosophila melanogaster,990.0
Cc1cn([C@H]2C[C@H](n3cc(-c4ccccn4)nn3)[C@@H](CO)O2)c(=O)[nH]c1=O,Q,Deoxynucleoside kinase,Drosophila melanogaster,3800.0
Cc1cn([C@H]2C[C@H](n3nncc3-c3ccccc3)[C@@H](CO)O2)c(=O)[nH]c1=O,Q,Deoxynucleoside kinase,Drosophila melanogaster,17000.0
Cc1cn([C@H]2C[C@H](n3nncc3-c3ccc(Cl)cc3)[C@@H](CO)O2)c(=O)[nH]c1=O,Q,Deoxynucleoside kinase,Drosophila melanogaster,30000.0
O=c1[nH]c(=O)n([C@H]2C[C@H](n3cc(-c4ccccc4)nn3)[C@@H](CO)O2)cc1/C=C/Br,Q,Deoxynucleoside kinase,Drosophila melanogaster,2900.0
O=c1[nH]c(=O)n([C@H]2C[C@H](n3cc(-c4ccc(Cl)cc4)nn3)[C@@H](CO)O2)cc1/C=C/Br,Q,Deoxynucleoside kinase,Drosophila melanogaster,460.0
Cc1cc(O)c2c(c1)O[C@@]1(C(=O)NCCO)C(=CC=C[C@H]1O)C2=O,P,DNA topoisomerase 2,Drosophila melanogaster,23000.0
Cc1cc(O)c2c(c1)O[C@@]1(C(N)=O)C(=CC=C[C@H]1O)C2=O,P,DNA topoisomerase 2,Drosophila melanogaster,29000.0
COC(=O)[C@]12Oc3cc(C)cc(O)c3C(=O)C1=CC=C[C@H]2O,P,DNA topoisomerase 2,Drosophila melanogaster,2200.0
CCCCCCS(=O)(=O)CC(=O)C(F)(F)F,A,CG8425-PA [Drosophila melanogaster],Drosophila melanogaster,147.91
CCCCCC[S+]([O-])CC(=O)C(F)(F)F,A,CG8425-PA [Drosophila melanogaster],Drosophila melanogaster,1412.54
CCCCCC[Se](=O)CC(=O)C(F)(F)F,A,CG8425-PA [Drosophila melanogaster],Drosophila melanogaster,0.537
CCCCCCCCC(=O)C(F)(F)F,A,CG8425-PA [Drosophila melanogaster],Drosophila melanogaster,6760.83
CCCCCC[Se]CC(=O)C(F)(F)F,A,CG8425-PA [Drosophila melanogaster],Drosophila melanogaster,346.74
CCCCCCOCC(=O)C(F)(F)F,A,CG8425-PA [Drosophila melanogaster],Drosophila melanogaster,83.18
CCCCCCC#CC(=O)C(F)(F)F,A,CG8425-PA [Drosophila melanogaster],Drosophila melanogaster,398.11
CCCCCC[Se](=O)CC(C)=O,A,CG8425-PA [Drosophila melanogaster],Drosophila melanogaster,35481.34
CCCCCCCC(F)(F)C(=O)C(F)(F)F,A,CG8425-PA [Drosophila melanogaster],Drosophila melanogaster,5.248
CCCCCC[Se](=O)(=O)CC(=O)C(F)(F)F,A,CG8425-PA [Drosophila melanogaster],Drosophila melanogaster,36.31
CCCCCCCCC(=O)C(F)F,A,CG8425-PA [Drosophila melanogaster],Drosophila melanogaster,10000.0
CCCCCCNCC(=O)C(F)(F)F,A,CG8425-PA [Drosophila melanogaster],Drosophila melanogaster,74.13
CCCCCCSCC(=O)C(F)(F)F,A,CG8425-PA [Drosophila melanogaster],Drosophila melanogaster,30.9
CNC(=O)c1cc(Cl)cc(C)c1NC(=O)c1cc(Br)nn1-c1ncccc1Cl,Q,Ryanodine receptor,Drosophila melanogaster,40.0
C[C@H]([C@H](O)CCC(C)(C)O)[C@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)[C@@H](O)C[C@]4(C)[C@H]3CC[C@]12C,P,Ecdysone receptor,Drosophila melanogaster,2570.4
CC(C)(O)CC[C@@H](O)[C@](C)(O)[C@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)[C@@H](O)C[C@]4(C)[C@H]3CC[C@]12C,P,Ecdysone receptor,Drosophila melanogaster,45.71
CC(C)CC[C@@H](O)[C@](C)(O)[C@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)[C@@H](O)C[C@]4(C)[C@H]3CC[C@]12C,P,Ecdysone receptor,Drosophila melanogaster,1.288
C[C@@H]1C(=O)O[C@H](C)[C@H]1C[C@@H](O)[C@](C)(O)[C@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)[C@@H](O)C[C@]4(C)[C@H]3CC[C@]12C,P,Ecdysone receptor,Drosophila melanogaster,61.66
